Process Name,PID,DLL Name,DLL Path,Signature,VirusTotal,Note
GUP.exe,18656,ntdll.dll,C:\WINDOWS\SYSTEM32\ntdll.dll,Signed,Clean,
GUP.exe,18656,kernel32.dll,C:\WINDOWS\System32\KERNEL32.DLL,Signed,Clean,
GUP.exe,18656,kernelbase.dll,C:\WINDOWS\System32\KERNELBASE.dll,Signed,Clean,
GUP.exe,18656,shlwapi.dll,C:\WINDOWS\System32\SHLWAPI.dll,Signed,Clean,
GUP.exe,18656,libcurl.dll,C:\Program Files\Notepad++\updater\libcurl.dll,Unsigned,Malicious (27),
GUP.exe,18656,comctl32.dll,C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.3912_none_3e07963ce335137e\COMCTL32.dll,Signed,Clean,
GUP.exe,18656,msvcrt.dll,C:\WINDOWS\System32\msvcrt.dll,Signed,Clean,
GUP.exe,18656,gdi32.dll,C:\WINDOWS\System32\GDI32.dll,Signed,Clean,
GUP.exe,18656,user32.dll,C:\WINDOWS\System32\USER32.dll,Signed,Clean,
GUP.exe,18656,win32u.dll,C:\WINDOWS\System32\win32u.dll,Signed,Clean,
GUP.exe,18656,gdi32full.dll,C:\WINDOWS\System32\gdi32full.dll,Signed,Clean,
GUP.exe,18656,shell32.dll,C:\WINDOWS\System32\SHELL32.dll,Signed,Clean,
GUP.exe,18656,msvcp_win.dll,C:\WINDOWS\System32\msvcp_win.dll,Signed,Clean,
GUP.exe,18656,ucrtbase.dll,C:\WINDOWS\System32\ucrtbase.dll,Signed,Clean,
GUP.exe,18656,wintypes.dll,C:\WINDOWS\System32\wintypes.dll,Signed,Clean,
GUP.exe,18656,combase.dll,C:\WINDOWS\System32\combase.dll,Signed,Clean,
GUP.exe,18656,vcruntime140.dll,C:\WINDOWS\SYSTEM32\VCRUNTIME140.dll,Signed,Clean,
GUP.exe,18656,rpcrt4.dll,C:\WINDOWS\System32\RPCRT4.dll,Signed,Clean,
GUP.exe,18656,gup.dll,C:\Program Files\Notepad++\updater\gup.DLL,Signed,Clean,
GUP.exe,18656,ws2_32.dll,C:\WINDOWS\System32\WS2_32.dll,Signed,Clean,
GUP.exe,18656,wldap32.dll,C:\WINDOWS\System32\WLDAP32.dll,Unsigned,Clean,
GUP.exe,18656,advapi32.dll,C:\WINDOWS\System32\ADVAPI32.dll,Signed,Clean,
GUP.exe,18656,sechost.dll,C:\WINDOWS\System32\sechost.dll,Signed,Clean,
GUP.exe,18656,crypt32.dll,C:\WINDOWS\System32\CRYPT32.dll,Signed,Clean,
GUP.exe,18656,normaliz.dll,C:\WINDOWS\System32\Normaliz.dll,Unsigned,Clean,
GUP.exe,18656,bcrypt.dll,C:\WINDOWS\SYSTEM32\bcrypt.dll,Signed,Clean,
GUP.exe,18656,imm32.dll,C:\WINDOWS\System32\IMM32.DLL,Signed,Clean,
GUP.exe,18656,secur32.dll,C:\WINDOWS\SYSTEM32\secur32.dll,Unsigned,Clean,
GUP.exe,18656,sspicli.dll,C:\WINDOWS\SYSTEM32\SSPICLI.DLL,Signed,Clean,
GUP.exe,18656,iphlpapi.dll,C:\WINDOWS\SYSTEM32\iphlpapi.dll,Signed,Clean,
GUP.exe,18656,mswsock.dll,C:\WINDOWS\system32\mswsock.dll,Signed,Clean,
GUP.exe,18656,bcryptprimitives.dll,C:\WINDOWS\System32\bcryptprimitives.dll,Signed,Clean,
GUP.exe,18656,kernel.appcore.dll,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,Signed,Clean,
GUP.exe,18656,dnsapi.dll,C:\WINDOWS\SYSTEM32\DNSAPI.dll,Signed,Clean,
GUP.exe,18656,nsi.dll,C:\WINDOWS\System32\NSI.dll,Signed,Clean,
GUP.exe,18656,rasadhlp.dll,C:\Windows\System32\rasadhlp.dll,Unsigned,Clean,
GUP.exe,18656,ole32.dll,C:\WINDOWS\System32\ole32.DLL,Signed,Clean,
GUP.exe,18656,oleaut32.dll,C:\WINDOWS\System32\oleaut32.DLL,Signed,Clean,
GUP.exe,18656,wininet.dll,C:\WINDOWS\SYSTEM32\wininet.DLL,Signed,Clean,
GUP.exe,18656,mscoree.dll,C:\WINDOWS\SYSTEM32\mscoree.DLL,Unsigned,Clean,
GUP.exe,18656,amsi.dll,C:\WINDOWS\SYSTEM32\amsi.DLL,Unsigned,Clean,
GUP.exe,18656,wldp.dll,C:\WINDOWS\SYSTEM32\wldp.DLL,Signed,Clean,
GUP.exe,18656,cryptbase.dll,C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL,Signed,Clean,
GUP.exe,18656,winmm.dll,C:\WINDOWS\SYSTEM32\winmm.dll,Signed,Clean,
GUP.exe,18656,powrprof.dll,C:\WINDOWS\SYSTEM32\powrprof.dll,Signed,Clean,
GUP.exe,18656,umpdc.dll,C:\WINDOWS\SYSTEM32\UMPDC.dll,Signed,Clean,
GUP.exe,18656,fwpuclnt.dll,C:\WINDOWS\System32\fwpuclnt.dll,Unsigned,Clean,
GUP.exe,18656,schannel.dll,C:\WINDOWS\system32\schannel.DLL,Unsigned,Clean,
GUP.exe,18656,ncrypt.dll,C:\WINDOWS\SYSTEM32\ncrypt.dll,Signed,Clean,
GUP.exe,18656,ntasn1.dll,C:\WINDOWS\SYSTEM32\NTASN1.dll,Signed,Clean,
GUP.exe,18656,ncryptsslp.dll,C:\WINDOWS\system32\ncryptsslp.dll,Signed,Clean,
GUP.exe,18656,uxtheme.dll,C:\WINDOWS\system32\uxtheme.dll,Unsigned,Clean,
GUP.exe,18656,msctf.dll,C:\WINDOWS\System32\MSCTF.dll,Signed,Clean,
GUP.exe,18656,textinputframework.dll,C:\WINDOWS\SYSTEM32\textinputframework.dll,Signed,Clean,
GUP.exe,18656,coremessaging.dll,C:\WINDOWS\SYSTEM32\CoreMessaging.dll,Signed,Clean,
GUP.exe,18656,coreuicomponents.dll,C:\WINDOWS\SYSTEM32\CoreUIComponents.dll,Signed,Clean,
GUP.exe,18656,textshaping.dll,C:\WINDOWS\SYSTEM32\TextShaping.dll,Signed,Clean,
GUP.exe,18656,shcore.dll,C:\WINDOWS\System32\SHCORE.dll,Signed,Clean,
GUP.exe,21268,ntdll.dll,C:\WINDOWS\SYSTEM32\ntdll.dll,Signed,Clean,
GUP.exe,21268,kernel32.dll,C:\WINDOWS\System32\KERNEL32.DLL,Signed,Clean,
GUP.exe,21268,kernelbase.dll,C:\WINDOWS\System32\KERNELBASE.dll,Signed,Clean,
GUP.exe,21268,shlwapi.dll,C:\WINDOWS\System32\SHLWAPI.dll,Signed,Clean,
GUP.exe,21268,libcurl.dll,C:\Program Files\Notepad++\updater\libcurl.dll,Unsigned,Malicious (27),
GUP.exe,21268,comctl32.dll,C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.3912_none_3e07963ce335137e\COMCTL32.dll,Signed,Clean,
GUP.exe,21268,msvcrt.dll,C:\WINDOWS\System32\msvcrt.dll,Signed,Clean,
GUP.exe,21268,gdi32.dll,C:\WINDOWS\System32\GDI32.dll,Signed,Clean,
GUP.exe,21268,user32.dll,C:\WINDOWS\System32\USER32.dll,Signed,Clean,
GUP.exe,21268,win32u.dll,C:\WINDOWS\System32\win32u.dll,Signed,Clean,
GUP.exe,21268,shell32.dll,C:\WINDOWS\System32\SHELL32.dll,Signed,Clean,
GUP.exe,21268,gdi32full.dll,C:\WINDOWS\System32\gdi32full.dll,Signed,Clean,
GUP.exe,21268,msvcp_win.dll,C:\WINDOWS\System32\msvcp_win.dll,Signed,Clean,
GUP.exe,21268,ucrtbase.dll,C:\WINDOWS\System32\ucrtbase.dll,Signed,Clean,
GUP.exe,21268,wintypes.dll,C:\WINDOWS\System32\wintypes.dll,Signed,Clean,
GUP.exe,21268,combase.dll,C:\WINDOWS\System32\combase.dll,Signed,Clean,
GUP.exe,21268,rpcrt4.dll,C:\WINDOWS\System32\RPCRT4.dll,Signed,Clean,
GUP.exe,21268,vcruntime140.dll,C:\WINDOWS\SYSTEM32\VCRUNTIME140.dll,Signed,Clean,
GUP.exe,21268,gup.dll,C:\Program Files\Notepad++\updater\gup.DLL,Signed,Clean,
GUP.exe,21268,ws2_32.dll,C:\WINDOWS\System32\WS2_32.dll,Signed,Clean,
GUP.exe,21268,wldap32.dll,C:\WINDOWS\System32\WLDAP32.dll,Unsigned,Clean,
GUP.exe,21268,advapi32.dll,C:\WINDOWS\System32\ADVAPI32.dll,Signed,Clean,
GUP.exe,21268,sechost.dll,C:\WINDOWS\System32\sechost.dll,Signed,Clean,
GUP.exe,21268,crypt32.dll,C:\WINDOWS\System32\CRYPT32.dll,Signed,Clean,
GUP.exe,21268,normaliz.dll,C:\WINDOWS\System32\Normaliz.dll,Unsigned,Clean,
GUP.exe,21268,bcrypt.dll,C:\WINDOWS\SYSTEM32\bcrypt.dll,Signed,Clean,
GUP.exe,21268,imm32.dll,C:\WINDOWS\System32\IMM32.DLL,Signed,Clean,
GUP.exe,21268,secur32.dll,C:\WINDOWS\SYSTEM32\secur32.dll,Unsigned,Clean,
GUP.exe,21268,sspicli.dll,C:\WINDOWS\SYSTEM32\SSPICLI.DLL,Signed,Clean,
GUP.exe,21268,iphlpapi.dll,C:\WINDOWS\SYSTEM32\iphlpapi.dll,Signed,Clean,
GUP.exe,21268,mswsock.dll,C:\WINDOWS\system32\mswsock.dll,Signed,Clean,
GUP.exe,21268,bcryptprimitives.dll,C:\WINDOWS\System32\bcryptprimitives.dll,Signed,Clean,
GUP.exe,21268,kernel.appcore.dll,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,Signed,Clean,
GUP.exe,21268,dnsapi.dll,C:\WINDOWS\SYSTEM32\DNSAPI.dll,Signed,Clean,
GUP.exe,21268,nsi.dll,C:\WINDOWS\System32\NSI.dll,Signed,Clean,
GUP.exe,21268,rasadhlp.dll,C:\Windows\System32\rasadhlp.dll,Unsigned,Clean,
GUP.exe,21268,ole32.dll,C:\WINDOWS\System32\ole32.DLL,Signed,Clean,
GUP.exe,21268,oleaut32.dll,C:\WINDOWS\System32\oleaut32.DLL,Signed,Clean,
GUP.exe,21268,wininet.dll,C:\WINDOWS\SYSTEM32\wininet.DLL,Signed,Clean,
GUP.exe,21268,mscoree.dll,C:\WINDOWS\SYSTEM32\mscoree.DLL,Unsigned,Clean,
GUP.exe,21268,fwpuclnt.dll,C:\WINDOWS\System32\fwpuclnt.dll,Unsigned,Clean,
GUP.exe,21268,amsi.dll,C:\WINDOWS\SYSTEM32\amsi.DLL,Unsigned,Clean,
GUP.exe,21268,wldp.dll,C:\WINDOWS\SYSTEM32\wldp.DLL,Signed,Clean,
GUP.exe,21268,cryptbase.dll,C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL,Signed,Clean,
GUP.exe,21268,winmm.dll,C:\WINDOWS\SYSTEM32\winmm.dll,Signed,Clean,
GUP.exe,21268,powrprof.dll,C:\WINDOWS\SYSTEM32\powrprof.dll,Signed,Clean,
GUP.exe,21268,umpdc.dll,C:\WINDOWS\SYSTEM32\UMPDC.dll,Signed,Clean,
GUP.exe,21268,schannel.dll,C:\WINDOWS\system32\schannel.DLL,Unsigned,Clean,
GUP.exe,21268,ncrypt.dll,C:\WINDOWS\SYSTEM32\ncrypt.dll,Signed,Clean,
GUP.exe,21268,ntasn1.dll,C:\WINDOWS\SYSTEM32\NTASN1.dll,Signed,Clean,
GUP.exe,21268,ncryptsslp.dll,C:\WINDOWS\system32\ncryptsslp.dll,Signed,Clean,
GUP.exe,21268,uxtheme.dll,C:\WINDOWS\system32\uxtheme.dll,Unsigned,Clean,
GUP.exe,21268,msctf.dll,C:\WINDOWS\System32\MSCTF.dll,Signed,Clean,
GUP.exe,21268,textinputframework.dll,C:\WINDOWS\SYSTEM32\textinputframework.dll,Signed,Clean,
GUP.exe,21268,coremessaging.dll,C:\WINDOWS\SYSTEM32\CoreMessaging.dll,Signed,Clean,
GUP.exe,21268,coreuicomponents.dll,C:\WINDOWS\SYSTEM32\CoreUIComponents.dll,Signed,Clean,
GUP.exe,21268,textshaping.dll,C:\WINDOWS\SYSTEM32\TextShaping.dll,Signed,Clean,
GUP.exe,21268,shcore.dll,C:\WINDOWS\System32\SHCORE.dll,Signed,Clean,
